"","Organism Group","Life Stage","Species","Estimated Maximum Ingestible Size (mm)","Level of Biological Organization","Exposure Route","Environment","Acute/Chronic","Exposure Duration (days)","translocatable","Effect Score","Effect Metric","Broad Endpoint Category","Specific Endpoint Category","Empirical Tissue Translocation ERM Conc. (log 10 particles/mL; 1-5,000 um)","Empirical Food Dilution ERM Conc. (log 10 particles/mL; 1-5,000 um)","PA_fraction","PE_fraction","PET_fraction","PLA_fraction","PMMA_fraction","PP_fraction","PS_fraction","PUR_fraction","PVC_fraction","fiber_fraction","fragment_fraction","sphere_fraction"
"472","Crustacea","Adult","Parvocalanus crassirostris",0.0505094673026967,"organism","water","Marine","Acute",5,"translocatable",4,"NOEC","Fitness","Reproduction",4.96498189957596,4.48395641484233,0,0,1,0,0,0,0,0,0,0,1,0
"473","Crustacea","Adult","Gammarus pulex",1.44941288885944,"subcell","water","Freshwater","Chronic",48,"translocatable",1,"not_available","Metabolism","Lipid Metabolism",2.15479039625246,0.488770199302132,0,0,1,0,0,0,0,0,0,0,1,0
"474","Crustacea","Early","Ceriodaphnia dubia",0.03567,"organism","water","Freshwater","Acute",8,"non-translocatable",4,"not_available","Fitness","Reproduction",2.13335608858481,2.81257099543027,0,0,1,0,0,0,0,0,0,1,0,0
"475","Crustacea","Early","Ceriodaphnia dubia",0.03567,"organism","water","Freshwater","Acute",8,"non-translocatable",6,"not_available","Fitness","Mortality",2.13335608858481,2.81257099543027,0,0,1,0,0,0,0,0,0,1,0,0
"476","Echinoderm","Early","Paracentrotus lividus",4.0445581424139,"organism","water","Marine","Acute",2,"translocatable",6,"not_available","Fitness","Mortality",4.40242052300447,1.42122676977109,0,1,0,0,0,0,0,0,0,0,1,0
"477","Crustacea","Early","Tigriopus japonicus",0.168691080099539,"organism","water","Marine","Acute",14,"translocatable",4,"LOEC","Fitness","Reproduction",2.65510784699045,2.08458114431819,0,0,0,0,0,0,1,0,0,0,0,1
"478","Crustacea","Early","Daphnia pulex",0.07087,"organism","water","Freshwater","Chronic",21,"translocatable",4,"not_available","Fitness","Reproduction",2.51485031876261,1.62826452421729,0,1,0,0,0,0,0,0,0,0,1,0
"479","Crustacea","Adult","Gammarus pulex",1.44941288885944,"subcell","water","Freshwater","Chronic",48,"translocatable",1,"not_available","Metabolism","Lipid Metabolism",4.85376040058848,3.18774020363815,0,0,1,0,0,0,0,0,0,0,1,0
"480","Crustacea","Juvenile","Gammarus pulex",1.44941288885944,"organism","water","Freshwater","Chronic",48,"translocatable",3,"not_available","Fitness","Development",4.85376040058848,3.18774020363815,0,0,1,0,0,0,0,0,0,0,1,0
"481","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"LOEC","Metabolism","Detoxification",0.825196813216299,-1.42092752555315,0,0,0,0,0,0,1,0,0,0,0,1
"482","Crustacea","Early","Ceriodaphnia dubia",0.03567,"organism","water","Freshwater","Acute",2,"non-translocatable",6,"LOEC","Fitness","Mortality",3.02646185467015,3.70567676151561,0,0,1,0,0,0,0,0,0,1,0,0
"483","Mollusca","Early","Mytilus galloprovincialis",9.51890176843551,"organism","water","Marine","Acute",2,"translocatable",3,"NOEC","Fitness","Development",6.81893132474007,3.2758551742105,0,1,0,0,0,0,0,0,0,0,1,0
"484","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"LOEC","Metabolism","Oxidative Stress",0.825196813216299,-1.42092752555315,0,0,0,0,0,0,1,0,0,0,0,1
